
Player Name,ACS (Map 1),ACS (Map 2),ACS (Map 3),K (Map 1),K (Map 2),K (Map 3),D (Map 1),D (Map 2),D (Map 3),A (Map 1),A (Map 2),A (Map 3),K/D (Map 1),K/D (Map 2),K/D (Map 3),KPR (Map 1),KPR (Map 2),KPR (Map 3),HS% (Map 1),HS% (Map 2),HS% (Map 3),ADR (Map 1),ADR (Map 2),ADR (Map 3),FK (Map 1),FK (Map 2),FK (Map 3),FD (Map 1),FD (Map 2),FD (Map 3),+/- (Map 1),+/- (Map 2),+/- (Map 3),FK/FD (Map 1),FK/FD (Map 2),FK/FD (Map 3),Team
pANcada,,0.94   1.12   0.83,135   169   112,11   6   5,/     11   4   7     /,9   2   7,0   +2   -2,80%   75%   83%,76   116   49,33%   29%   40%,2   1   1,2   1   1,0   0   0,LOUD
jawgemo,,1.16   1.30   0.96,301   338   246,19   13   6,/     18   11   7     /,7   4   3,+1   +2   -1,90%   92%   88%,207   232   169,23%   23%   24%,8   6   2,1   0   1,+7   +6   +1,EG
supamen,,1.14   1.61   0.42,273   345   166,20   15   5,/     16   8   8     /,4   3   1,+4   +7   -3,70%   75%   63%,165   218   85,53%   58%   40%,1   1   0,2   0   2,-1   +1   -2,EG
NaturE,,0.75   0.79   0.68,96   84   114,6   3   3,/     14   8   6     /,7   3   4,-8   -5   -3,75%   75%   75%,63   63   64,22%   13%   38%,1   0   1,1   0   1,0   0   0,EG
Derrek,,0.57   0.67   0.42,96   99   93,7   5   2,/     16   9   7     /,7   5   2,-9   -4   -5,50%   67%   25%,65   69   57,21%   31%   13%,1   0   1,0   0   0,+1   0   +1,EG
Apoth,,0.45   0.40   0.52,134   123   151,8   4   4,/     18   11   7     /,1   1   0,-10   -7   -3,45%   42%   50%,90   91   89,25%   25%   25%,2   2   0,3   3   0,-1   -1   0,EG
pANcada,,1.03   0.30   1.46,173   48   246,12   0   12,/     13   7   6     /,9   5   4,-1   -7   +6,74%   57%   83%,126   41   175,32%   14%   37%,1   0   1,3   2   1,-2   -2   0,LOUD
Less,,0.97   0.86   1.03,197   228   180,14   5   9,/     12   6   6     /,2   2   0,+2   -1   +3,68%   57%   75%,137   181   112,24%   38%   16%,1   1   0,1   0   1,0   +1   -1,LOUD
cauanzin,,0.95   0.55   1.19,214   165   243,14   4   10,/     15   7   8     /,8   0   8,-1   -3   +2,84%   71%   92%,159   135   173,31%   40%   26%,1   0   1,1   0   1,0   0   0,LOUD
saadhak,,0.84   0.21   1.20,198   79   268,11   1   10,/     16   7   9     /,5   1   4,-5   -6   +1,68%   43%   83%,135   69   174,23%   22%   23%,2   0   2,5   3   2,-3   -3   0,LOUD
tuyz,,0.63   0.23   0.86,143   163   132,9   4   5,/     15   7   8     /,3   1   2,-6   -3   -3,68%   57%   75%,103   98   105,40%   44%   38%,2   0   2,2   1   1,0   -1   +1,LOUD
jawgemo,,1.42   1.25   1.71,324   291   381,22   12   10,/     14   9   5     /,5   2   3,+8   +3   +5,74%   67%   86%,206   189   235,22%   26%   17%,8   5   3,1   1   0,+7   +4   +3,EG
Derrek,,1.30   0.85   2.07,211   182   263,15   7   8,/     10   9   1     /,8   5   3,+5   -2   +7,84%   75%   100%,126   97   175,33%   26%   41%,1   1   0,0   0   0,+1   +1   0,EG
Apoth,,1.06   0.81   1.49,223   192   276,15   8   7,/     13   9   4     /,4   2   2,+2   -1   +3,79%   75%   86%,140   129   158,27%   23%   32%,2   0   2,1   1   0,+1   -1   +2,EG
NaturE,,1.00   0.58   1.71,141   116   186,9   4   5,/     12   11   1     /,12   7   5,-3   -7   +4,79%   67%   100%,101   92   115,38%   26%   71%,1   0   1,2   2   0,-1   -2   +1,EG
supamen,,0.98   0.88   1.16,148   145   155,10   6   4,/     11   8   3     /,10   6   4,-1   -2   +1,79%   75%   86%,82   77   91,56%   42%   100%,0   0   0,3   2   1,-3   -2   -1,EG
tuyz,,1.26   1.22   1.29,251   249   255,22   11   11,/     15   7   8     /,6   3   3,+7   +4   +3,83%   92%   75%,172   173   172,29%   29%   29%,2   0   2,1   0   1,+1   0   +1,LOUD
cauanzin,,1.08   1.14   1.02,260   300   221,21   13   8,/     17   8   9     /,7   4   3,+4   +5   -1,83%   92%   75%,179   213   144,25%   36%   14%,4   2   2,2   1   1,+2   +1   +1,LOUD
Less,,0.94   1.13   0.76,205   246   165,17   11   6,/     15   7   8     /,5   2   3,+2   +4   -2,58%   58%   58%,122   135   110,21%   33%   10%,1   1   0,3   1   2,-2   0   -2,LOUD
saadhak,,0.88   0.81   0.95,174   191   157,15   7   8,/     17   9   8     /,6   3   3,-2   -2   0,67%   75%   58%,114   140   89,28%   36%   19%,3   3   0,4   2   2,-1   +1   -2,LOUD
pANcada,,0.81   0.73   0.89,148   150   147,12   6   6,/     14   8   6     /,6   3   3,-2   -2   0,58%   58%   58%,114   118   109,41%   46%   38%,1   0   1,3   2   1,-2   -2   0,LOUD
Derrek,,1.24   1.19   1.29,223   228   219,20   10   10,/     15   7   8     /,8   5   3,+5   +3   +2,75%   75%   75%,160   178   141,33%   35%   32%,1   0   1,0   0   0,+1   0   +1,EG
jawgemo,,1.09   1.10   1.08,211   186   237,17   8   9,/     17   6   11     /,3   0   3,0   +2   -2,71%   75%   67%,129   108   151,24%   26%   23%,5   2   3,1   1   0,+4   +1   +3,EG
NaturE,,0.99   1.24   0.74,169   252   88,13   10   3,/     16   8   8     /,5   3   2,-3   +2   -5,63%   67%   58%,118   167   70,31%   30%   33%,4   4   0,1   1   0,+3   +3   0,EG
supamen,,0.93   0.88   0.99,216   159   275,20   8   12,/     21   9   12     /,2   2   0,-1   -1   0,67%   75%   58%,129   91   166,47%   42%   50%,2   1   1,7   3   4,-5   -2   -3,EG
Apoth,,0.68   0.56   0.80,108   95   122,8   3   5,/     18   9   9     /,7   4   3,-10   -6   -4,63%   67%   58%,74   65   84,17%   11%   24%,1   0   1,2   0   2,-1   0   -1,EG
